# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
151.18,-33.31,889244.9303,6306539.7451,175.69,19.96
150.32,-34.40,805212.4868,6188492.1675,38.07,11.45
151.21,-33.22,892443.8674,6316415.7690,154.04,19.46
150.93,-33.65,864519.7794,6269716.3846,28.70,5.19
151.23,-33.24,894219.5986,6314120.6344,165.39,22.44
150.90,-33.49,862404.8373,6287577.2916,375.94,1.67
151.23,-33.28,894039.5159,6309681.1974,195.79,23.42
151.29,-33.37,899221.1997,6299463.4791,176.72,16.46
151.01,-33.47,872718.8239,6289406.5994,72.17,14.69
151.28,-33.67,896913.7801,6266204.6019,114.76,20.34
150.55,-33.50,829826.1492,6287636.7951,39.56,49.58
150.32,-34.49,804884.8360,6178506.3414,23.47,5.58
151.28,-33.34,898426.9399,6302831.5472,205.69,21.06
151.20,-33.35,890929.5431,6302025.3696,191.38,21.79
150.72,-34.24,842653.7508,6204968.7021,5.14,3.23
150.55,-34.22,827064.7128,6207747.9212,21.19,3.75
151.23,-33.23,894264.5892,6315230.4917,159.63,20.69
150.54,-34.37,825562.7936,6191135.8585,17.51,3.73
150.54,-34.64,824512.8506,6161175.7041,182.31,33.10
150.56,-34.21,828025.2776,6208825.3284,16.12,3.29
150.48,-34.65,818971.8413,6160257.9333,128.34,23.46
151.22,-33.26,893197.1566,6311938.6958,167.39,21.01
151.23,-33.23,894264.5892,6315230.4917,159.63,20.69
151.17,-33.32,888268.6215,6305467.2721,164.70,18.72
150.56,-34.20,828064.0855,6209934.9390,12.77,2.99
151.16,-33.34,887248.1600,6303284.8936,188.60,22.22
150.54,-34.20,826220.1572,6209999.2391,22.10,4.29
150.57,-34.23,828869.2733,6206573.8042,11.80,2.11
151.17,-33.23,888668.1871,6315455.7100,145.11,21.51
151.22,-33.33,892882.4677,6304169.7009,172.56,18.34
151.23,-33.37,893633.6274,6299692.4164,194.50,20.72
150.34,-34.41,807015.2841,6187322.1619,35.08,9.88
151.20,-33.31,891108.6750,6306464.7614,144.01,19.07
151.29,-33.35,899312.7694,6301683.2825,191.46,19.57
150.48,-34.40,819927.9572,6187998.2335,23.13,5.53
151.24,-33.24,895152.2421,6314082.7777,168.45,21.62
151.19,-33.30,890221.4463,6307612.1385,146.73,19.01
151.20,-33.23,891466.3666,6315343.5054,158.26,19.40
151.26,-33.40,896290.9130,6296248.6937,165.18,17.94
151.22,-33.39,892612.2673,6297510.5305,180.03,20.29
151.20,-33.31,891108.6750,6306464.7614,144.01,19.07
150.56,-34.22,827986.4598,6207715.7168,16.21,3.07
150.75,-33.52,848337.7568,6284762.9403,15.32,3.83
151.21,-33.30,892085.4149,6307536.9862,131.37,22.32
150.77,-33.51,850236.9814,6285805.1146,13.68,2.89
150.40,-34.44,812421.0622,6183809.8519,10.87,5.74
150.87,-33.50,859574.0054,6286572.1336,28.21,7.10
150.23,-34.67,795977.0031,6158802.9495,64.22,12.96
151.28,-33.38,898244.2299,6298391.9634,187.31,17.27
150.56,-34.22,827986.4598,6207715.7168,16.21,3.07
150.55,-34.19,827180.8079,6211076.7395,15.89,3.71
150.59,-34.22,830751.7232,6207618.5578,7.74,1.53
150.93,-33.53,865025.9225,6283033.0842,34.20,6.92
150.15,-34.58,788955.8936,6169020.8745,23.00,5.38
151.25,-33.68,894083.9550,6265209.8098,119.13,22.21
150.26,-34.53,799229.4821,6174247.6903,26.81,10.83
151.24,-33.32,894791.0276,6305203.8448,170.58,20.95
150.44,-34.61,815455.5392,6164822.4541,31.36,7.42
150.56,-34.22,827986.4598,6207715.7168,16.21,3.07
150.57,-34.32,828518.3862,6196587.1994,15.64,4.08
151.19,-33.33,890087.4726,6304282.6153,182.23,19.32
151.24,-33.23,895197.3397,6315192.6407,161.43,20.74
150.56,-34.23,827947.6320,6206606.1040,13.05,2.45
151.20,-33.30,891153.4282,6307574.6073,124.65,23.35
150.55,-34.35,826560.5972,6193322.9259,12.53,2.31
150.29,-34.50,802092.6322,6177486.9362,23.90,7.01
150.62,-33.45,836526.7292,6292959.5734,19.31,29.92
151.14,-33.08,886529.0576,6332214.0962,25.68,9.64
151.15,-33.11,887331.4568,6328847.7392,39.87,10.12
150.44,-34.65,815303.9212,6160384.0244,126.54,24.28
150.72,-34.26,842572.5378,6202749.3260,6.91,2.36
151.17,-33.33,888224.1661,6304357.4414,173.92,20.43
151.21,-33.28,892175.0997,6309756.6868,172.66,23.44
150.71,-33.51,844659.8318,6286006.3891,14.07,5.70
150.29,-34.52,802020.3612,6175267.8722,10.52,4.79
151.19,-33.30,890221.4463,6307612.1385,146.73,19.01
150.53,-34.21,825259.7191,6208921.6556,25.95,5.19
150.08,-31.21,793455.0520,6543034.8434,2.25,0.65
150.16,-31.17,801207.6589,6547255.7367,1.07,0.59
150.15,-31.30,799842.5644,6532865.0143,4.32,1.72
150.25,-31.27,809464.1524,6535915.7788,2.04,0.62
